State,deathConfirmed,death
AK,,305
AK,,305
AK,,305
AK,,303
AK,,303
AK,,302
AK,,300
AK,,290
AK,,290
AK,,290
AK,,290
AK,,290
AK,,290
AK,,290
AK,,289
AK,,289
AK,,289
AK,,288
AK,,288
AK,,287
AK,,282
AK,,282
AK,,282
AK,,282
AK,,280
AK,,280
AK,,280
AK,,279
AK,,279
AK,,279
AK,,279
AK,,279
AK,,279
AK,,279
AK,,262
AK,,262
AK,,262
AK,,262
AK,,262
AK,,261
AK,,260
AK,,259
AK,,259
AK,,259
AK,,254
AK,,254
AK,,253
AK,,230
AK,,229
AK,,229
AK,,229
AK,,229
AK,,228
AK,,226
AK,,224
AK,,224
AK,,224
AK,,224
AK,,223
AK,,223
AK,,220
AK,,218
AK,,218
AK,215,215
AK,215,215
AK,206,206
AK,206,206
AK,203,203
AK,201,201
AK,200,200
AK,200,200
AK,200,200
AK,199,199
AK,199,199
AK,197,197
AK,194,194
AK,184,184
AK,184,184
AK,184,184
AK,183,183
AK,183,183
AK,181,181
AK,179,179
AK,176,176
AK,176,176
AK,176,176
AK,158,158
AK,155,155
AK,150,150
AK,146,146
AK,146,146
AK,143,143
AK,143,143
AK,142,142
AK,130,130
AK,122,122
AK,122,122
AK,121,121
AK,121,121
AK,121,121
AK,119,119
AK,119,119
AK,116,116
AK,116,116
AK,103,103
AK,103,103
AK,102,102
AK,101,101
AK,101,101
AK,100,100
AK,100,100
AK,98,98
AK,98,98
AK,98,98
AK,96,96
AK,96,96
AK,96,96
AK,92,92
AK,84,84
AK,84,84
AK,84,84
AK,84,84
AK,84,84
AK,84,84
AK,84,84
AK,84,84
AK,83,83
AK,82,82
AK,81,81
AK,77,77
AK,71,71
AK,70,70
AK,68,68
AK,68,68
AK,68,68
AK,68,68
AK,68,68
AK,68,68
AK,67,67
AK,67,67
AK,67,67
AK,67,67
AK,66,66
AK,65,65
AK,64,64
AK,60,60
AK,60,60
AK,60,60
AK,60,60
AK,60,60
AK,60,60
AK,59,59
AK,58,58
AK,58,58
AK,58,58
AK,58,58
AK,57,57
AK,57,57
AK,56,56
AK,56,56
AK,56,56
AK,56,56
AK,52,52
AK,51,51
AK,45,45
AK,45,45
AK,45,45
AK,45,45
AK,45,45
AK,45,45
AK,45,45
AK,44,44
AK,44,44
AK,44,44
AK,44,44
AK,44,44
AK,44,44
AK,43,43
AK,42,42
AK,42,42
AK,42,42
AK,42,42
AK,42,42
AK,42,42
AK,40,40
AK,40,40
AK,39,39
AK,39,39
AK,37,37
AK,37,37
AK,37,37
AK,37,37
AK,37,37
AK,37,37
AK,36,36
AK,32,32
AK,32,32
AK,31,31
AK,30,30
AK,29,29
AK,29,29
AK,29,29
AK,28,28
AK,28,28
AK,28,28
AK,27,27
AK,27,27
AK,27,27
AK,26,26
AK,26,26
AK,26,26
AK,26,26
AK,25,25
AK,25,25
AK,25,25
AK,25,25
AK,25,25
AK,24,24
AK,24,24
AK,23,23
AK,23,23
AK,22,22
AK,22,22
AK,21,21
AK,20,20
AK,20,20
AK,19,19
AK,19,19
AK,19,19
AK,18,18
AK,18,18
AK,18,18
AK,18,18
AK,17,17
AK,17,17
AK,17,17
AK,17,17
AK,17,17
AK,17,17
AK,17,17
AK,17,17
AK,17,17
AK,17,17
AK,17,17
AK,16,16
AK,16,16
AK,16,16
AK,15,15
AK,14,14
AK,14,14
AK,14,14
AK,14,14
AK,14,14
AK,14,14
AK,14,14
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,12,12
AK,11,11
AK,11,11
AK,11,11
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,10,10
AK,9,9
AK,9,9
AK,9,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,9
AK,,8
AK,,8
AK,,8
AK,,7
AK,,7
AK,,7
AK,,6
AK,,6
AK,,6
AK,,5
AK,,3
AK,,3
AK,,3
AK,,3
AK,,3
AK,,2
AK,,2
AK,,1
AK,,1
AK,,1
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
AK,,0
