State,deathConfirmed,death
AZ,14403,16328
AZ,14395,16323
AZ,14339,16269
AZ,14264,16185
AZ,14176,16089
AZ,14158,16060
AZ,14100,15979
AZ,14099,15980
AZ,14091,15967
AZ,14028,15897
AZ,13957,15814
AZ,13846,15693
AZ,13821,15650
AZ,13692,15502
AZ,13694,15505
AZ,13674,15480
AZ,13628,15421
AZ,13510,15276
AZ,13328,15063
AZ,13253,14981
AZ,13250,14978
AZ,13250,14978
AZ,13229,14948
AZ,13128,14834
AZ,12983,14662
AZ,12837,14462
AZ,12702,14286
AZ,12487,14055
AZ,12480,14048
AZ,12451,14011
AZ,12399,13948
AZ,12224,13752
AZ,12059,13576
AZ,11912,13362
AZ,11707,13124
AZ,11702,13120
AZ,11682,13098
AZ,11612,13022
AZ,11440,12819
AZ,11292,12643
AZ,11117,12448
AZ,10942,12239
AZ,10941,12238
AZ,10879,12170
AZ,10734,12001
AZ,10543,11772
AZ,10341,11528
AZ,10128,11266
AZ,10125,11265
AZ,10124,11266
AZ,10115,11248
AZ,9931,11040
AZ,9778,10855
AZ,9620,10673
AZ,9438,10482
AZ,9123,10147
AZ,9102,10141
AZ,9001,10036
AZ,8918,9938
AZ,8753,9741
AZ,8493,9444
AZ,8398,9317
AZ,8173,9064
AZ,8168,9061
AZ,8166,9061
AZ,8128,9015
AZ,8006,8864
AZ,7892,8718
AZ,7837,8640
AZ,7693,8469
AZ,7653,8427
AZ,7650,8424
AZ,7635,8409
AZ,7538,8294
AZ,7434,8179
AZ,7406,8125
AZ,7278,7972
AZ,7277,7971
AZ,7246,7937
AZ,7142,7819
AZ,7040,7677
AZ,6919,7530
AZ,6835,7422
AZ,6782,7358
AZ,6779,7357
AZ,6749,7322
AZ,6689,7245
AZ,6610,7154
AZ,6551,7081
AZ,6449,6973
AZ,6431,6950
AZ,6431,6950
AZ,6406,6925
AZ,6370,6885
AZ,6310,6821
AZ,6237,6739
AZ,6191,6687
AZ,6152,6639
AZ,6148,6634
AZ,6140,6624
AZ,6106,6588
AZ,6086,6568
AZ,6044,6524
AZ,6036,6515
AZ,5992,6464
AZ,5992,6464
AZ,5985,6457
AZ,5961,6427
AZ,5919,6384
AZ,5902,6365
AZ,5855,6312
AZ,5846,6302
AZ,5846,6302
AZ,5845,6300
AZ,5806,6257
AZ,5793,6240
AZ,5786,6228
AZ,5757,6192
AZ,5745,6164
AZ,5745,6164
AZ,5730,6147
AZ,5714,6109
AZ,5707,6087
AZ,5701,6059
AZ,5679,6020
AZ,5664,5982
AZ,5663,5981
AZ,5664,5979
AZ,5641,5934
AZ,5626,5918
AZ,5614,5905
AZ,5601,5891
AZ,5587,5875
AZ,5586,5874
AZ,5581,5869
AZ,5578,5865
AZ,5573,5859
AZ,5567,5854
AZ,5550,5837
AZ,5544,5830
AZ,5541,5827
AZ,5539,5824
AZ,5519,5806
AZ,5502,5789
AZ,5485,5772
AZ,5479,5767
AZ,5472,5759
AZ,5472,5759
AZ,5472,5759
AZ,5460,5746
AZ,5456,5743
AZ,5447,5733
AZ,5427,5713
AZ,5423,5707
AZ,5422,5706
AZ,5421,5705
AZ,5411,5693
AZ,5401,5674
AZ,5382,5650
AZ,5365,5632
AZ,5357,5623
AZ,5356,5623
AZ,5355,5622
AZ,5319,5587
AZ,5291,5559
AZ,5258,5525
AZ,5230,5498
AZ,5186,5478
AZ,5184,5476
AZ,5176,5467
AZ,5160,5451
AZ,5135,5409
AZ,5098,5371
AZ,5071,5344
AZ,5049,5322
AZ,5049,5322
AZ,5041,5315
AZ,5014,5288
AZ,4999,5273
AZ,4978,5251
AZ,4947,5221
AZ,4945,5219
AZ,4947,5221
AZ,4933,5207
AZ,4897,5171
AZ,4861,5130
AZ,4799,5065
AZ,4777,5044
AZ,4762,5029
AZ,4762,5030
AZ,4738,5007
AZ,4709,4978
AZ,4673,4929
AZ,4640,4896
AZ,4535,4792
AZ,4514,4771
AZ,4515,4771
AZ,4500,4756
AZ,4433,4688
AZ,4429,4684
AZ,4378,4634
AZ,4273,4529
AZ,4252,4506
AZ,4252,4506
AZ,4238,4492
AZ,4169,4423
AZ,4130,4383
AZ,4095,4347
AZ,3951,4199
AZ,3922,4154
AZ,3918,4150
AZ,3905,4137
AZ,3860,4081
AZ,3786,4002
AZ,3717,3932
AZ,2431,3845
AZ,2431,3779
AZ,2431,3765
AZ,2431,3747
AZ,2431,3694
AZ,2431,3626
AZ,2431,3454
AZ,2431,3408
AZ,2431,3304
AZ,2431,3305
AZ,2431,3286
AZ,2431,3142
AZ,2431,3063
AZ,2431,2974
AZ,2431,2918
AZ,2431,2784
AZ,2431,2761
AZ,2431,2730
AZ,2431,2583
AZ,2353,2492
AZ,2295,2434
AZ,2208,2337
AZ,2122,2245
AZ,2114,2237
AZ,2030,2151
AZ,1961,2082
AZ,1917,2038
AZ,1842,1963
AZ,1807,1927
AZ,1695,1810
AZ,1694,1809
AZ,1690,1805
AZ,1673,1788
AZ,1642,1757
AZ,1607,1720
AZ,1529,1632
AZ,1488,1588
AZ,1488,1588
AZ,1479,1579
AZ,1435,1535
AZ,1393,1490
AZ,1366,1463
AZ,1291,1384
AZ,1251,1342
AZ,1248,1339
AZ,1247,1338
AZ,1224,1312
AZ,1184,1271
AZ,1159,1239
AZ,1140,1219
AZ,1127,1194
AZ,1119,1186
AZ,1116,1183
AZ,1060,1144
AZ,1060,1127
AZ,,1095
AZ,,1070
AZ,,1047
AZ,,1044
AZ,,1042
AZ,,1012
AZ,,996
AZ,,981
AZ,,941
AZ,,917
AZ,,906
AZ,,903
AZ,,885
AZ,,857
AZ,,831
AZ,,807
AZ,,806
AZ,,800
AZ,,799
AZ,,775
AZ,,763
AZ,,747
AZ,,704
AZ,,686
AZ,,680
AZ,,679
AZ,,651
AZ,,624
AZ,,594
AZ,,562
AZ,,542
AZ,,536
AZ,,532
AZ,,517
AZ,,450
AZ,,426
AZ,,395
AZ,,362
AZ,,362
AZ,,348
AZ,,330
AZ,,320
AZ,,304
AZ,,293
AZ,,275
AZ,,275
AZ,,266
AZ,,266
AZ,,249
AZ,,229
AZ,,208
AZ,,187
AZ,,184
AZ,,177
AZ,,169
AZ,,150
AZ,,142
AZ,,131
AZ,,122
AZ,,115
AZ,,108
AZ,,97
AZ,,89
AZ,,80
AZ,,73
AZ,,65
AZ,,64
AZ,,52
AZ,,41
AZ,,32
AZ,,29
AZ,,24
AZ,,20
AZ,,17
AZ,,15
AZ,,13
AZ,,8
AZ,,6
AZ,,5
AZ,,2
AZ,,2
AZ,,1
AZ,,0
AZ,,0
AZ,,0
AZ,,0
AZ,,0
AZ,,0
AZ,,0
AZ,,0
AZ,,
AZ,,
AZ,,
AZ,,
AZ,,
AZ,,
AZ,,
AZ,,
AZ,,
