State,deathConfirmed,death
FL,,32266
FL,,32200
FL,,32093
FL,,31955
FL,,31829
FL,,31696
FL,,31556
FL,,31406
FL,,31280
FL,,31162
FL,,31018
FL,,30878
FL,,30749
FL,,30595
FL,,30434
FL,,30339
FL,,30214
FL,,29990
FL,,29824
FL,,29659
FL,,29434
FL,,29275
FL,,29179
FL,,29061
FL,,28871
FL,,28691
FL,,28526
FL,,28287
FL,,28161
FL,,28058
FL,,27913
FL,,27698
FL,,27472
FL,,27269
FL,,27129
FL,,26915
FL,,26795
FL,,26685
FL,,26456
FL,,26249
FL,,26080
FL,,25849
FL,,25693
FL,,25561
FL,,25405
FL,,25128
FL,,24965
FL,,24820
FL,,24657
FL,,24515
FL,,24380
FL,,24169
FL,,23981
FL,,23759
FL,,23585
FL,,23424
FL,,23261
FL,,23150
FL,,23011
FL,,22817
FL,,22647
FL,,22515
FL,,22415
FL,,22310
FL,,22210
FL,,21990
FL,,21990
FL,,21857
FL,,21718
FL,,21613
FL,,21514
FL,,21437
FL,,21295
FL,,21295
FL,,21173
FL,,21052
FL,,20976
FL,,20861
FL,,20764
FL,,20690
FL,,20594
FL,,20490
FL,,20365
FL,,20271
FL,,20133
FL,,20049
FL,,19977
FL,,19851
FL,,19716
FL,,19627
FL,,19529
FL,,19423
FL,,19327
FL,,19236
FL,,19112
FL,,19012
FL,,18916
FL,,18834
FL,,18736
FL,,18677
FL,,18596
FL,,18482
FL,,18482
FL,,18383
FL,,18310
FL,,18214
FL,,18152
FL,,18110
FL,,18030
FL,,17949
FL,,17861
FL,,17775
FL,,17734
FL,,17704
FL,,17659
FL,,17585
FL,,17512
FL,,17460
FL,,17391
FL,,17333
FL,,17311
FL,,17224
FL,,17170
FL,,17131
FL,,17099
FL,,17043
FL,,16997
FL,,16969
FL,,16927
FL,,16854
FL,,16775
FL,,16709
FL,,16652
FL,,16632
FL,,16620
FL,,16544
FL,,16470
FL,,16308
FL,,16308
FL,,16222
FL,,16168
FL,,16118
FL,,16030
FL,,15932
FL,,15788
FL,,15722
FL,,15599
FL,,15552
FL,,15372
FL,,15372
FL,,15254
FL,,15084
FL,,14945
FL,,14886
FL,,14845
FL,,14803
FL,,14730
FL,,14619
FL,,14488
FL,,14313
FL,,14207
FL,,14202
FL,,14190
FL,,14083
FL,,13961
FL,,13782
FL,,13579
FL,,13480
FL,,13459
FL,,13450
FL,,13387
FL,,13247
FL,,13100
FL,,12946
FL,,12800
FL,,12764
FL,,12756
FL,,12658
FL,,12482
FL,,12269
FL,,12067
FL,,12023
FL,,12001
FL,,11963
FL,,11903
FL,,11800
FL,,11651
FL,,11521
FL,,11331
FL,,11263
FL,,11249
FL,,11099
FL,,11011
FL,,10872
FL,,10717
FL,,10534
FL,,10462
FL,,10411
FL,,10304
FL,,10186
FL,,10067
FL,,9893
FL,,9674
FL,,9587
FL,,9480
FL,,9276
FL,,9047
FL,,8898
FL,8685,8685
FL,8408,8408
FL,8315,8315
FL,8238,8238
FL,8051,8051
FL,7871,7871
FL,7751,7751
FL,7526,7526
FL,7279,7279
FL,7206,7206
FL,7144,7144
FL,6966,6966
FL,6709,6709
FL,6457,6457
FL,6240,6240
FL,6049,6049
FL,5972,5972
FL,5894,5894
FL,5768,5768
FL,5632,5632
FL,5459,5459
FL,5319,5319
FL,5183,5183
FL,5091,5091
FL,5002,5002
FL,4912,4912
FL,4782,4782
FL,4626,4626
FL,4514,4514
FL,4381,4381
FL,4346,4346
FL,4301,4301
FL,4203,4203
FL,4111,4111
FL,3991,3991
FL,3943,3943
FL,3880,3880
FL,3832,3832
FL,3803,3803
FL,3785,3785
FL,3718,3718
FL,3650,3650
FL,3604,3604
FL,3546,3546
FL,3518,3518
FL,3489,3489
FL,3464,3464
FL,3423,3423
FL,3377,3377
FL,3333,3333
FL,3266,3266
FL,3254,3254
FL,3237,3237
FL,3197,3197
FL,3154,3154
FL,3110,3110
FL,3085,3085
FL,3030,3030
FL,3022,3022
FL,3016,3016
FL,2967,2967
FL,2938,2938
FL,2889,2889
FL,2851,2851
FL,2798,2798
FL,2786,2786
FL,2773,2773
FL,2745,2745
FL,2691,2691
FL,2650,2650
FL,2613,2613
FL,2543,2543
FL,2534,2534
FL,2530,2530
FL,2495,2495
FL,2446,2446
FL,2400,2400
FL,2338,2338
FL,2331,2331
FL,2316,2316
FL,2312,2312
FL,2268,2268
FL,2222,2222
FL,2173,2173
FL,2129,2129
FL,2073,2073
FL,2049,2049
FL,2040,2040
FL,1991,1991
FL,1948,1948
FL,1898,1898
FL,1849,1849
FL,1805,1805
FL,1791,1791
FL,1785,1785
FL,1738,1738
FL,1667,1667
FL,1605,1605
FL,1536,1536
FL,1423,1423
FL,1403,1403
FL,,1388
FL,,1314
FL,,1290
FL,,1240
FL,,1154
FL,,1101
FL,,1094
FL,,1075
FL,,1031
FL,,979
FL,,910
FL,,856
FL,,806
FL,,781
FL,,754
FL,,699
FL,,646
FL,,609
FL,,537
FL,,483
FL,,465
FL,,438
FL,,390
FL,,354
FL,,309
FL,,296
FL,,236
FL,,218
FL,,191
FL,,163
FL,,128
FL,,87
FL,,77
FL,,63
FL,,56
FL,,54
FL,,34
FL,,28
FL,,22
FL,,18
FL,,14
FL,,13
FL,,12
FL,,10
FL,,8
FL,,7
FL,,6
FL,,4
FL,,4
FL,,3
FL,,2
FL,,2
FL,,2
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
FL,,
