State,deathConfirmed,death
GA,15598,17906
GA,15597,17905
GA,15526,17815
GA,15462,17750
GA,15349,17625
GA,15209,17480
GA,15148,17376
GA,15068,17295
GA,15067,17294
GA,15007,17219
GA,14989,17199
GA,14882,17064
GA,14761,16927
GA,14689,16835
GA,14633,16744
GA,14629,16742
GA,14530,16610
GA,14358,16403
GA,14254,16273
GA,14176,16174
GA,13997,15928
GA,13964,15871
GA,13961,15850
GA,13856,15708
GA,13672,15513
GA,13599,15421
GA,13481,15301
GA,13361,15130
GA,13326,15092
GA,13324,15090
GA,13146,14858
GA,13048,14756
GA,12907,14587
GA,12772,14450
GA,12613,14242
GA,12570,14198
GA,12568,14196
GA,12410,13986
GA,12280,13827
GA,12135,13643
GA,11996,13482
GA,11854,13303
GA,11801,13250
GA,11798,13246
GA,11670,13060
GA,11511,12889
GA,11411,12778
GA,11265,12582
GA,11095,12360
GA,11032,12296
GA,11029,12291
GA,10878,12138
GA,10721,11975
GA,10580,11803
GA,10444,11662
GA,10299,11475
GA,10282,11458
GA,10280,11457
GA,10180,11314
GA,10100,11230
GA,10035,11165
GA,9966,11072
GA,9900,10971
GA,9893,10964
GA,9891,10960
GA,9889,10958
GA,9872,10934
GA,9808,10846
GA,9759,10779
GA,9719,10696
GA,9714,10689
GA,9710,10685
GA,9656,10631
GA,9607,10582
GA,9554,10519
GA,9503,10463
GA,9453,10399
GA,9437,10383
GA,9435,10381
GA,9396,10332
GA,9358,10294
GA,9302,10228
GA,9250,10160
GA,9218,10104
GA,9205,10076
GA,9204,10075
GA,9175,10031
GA,9123,9975
GA,9073,9921
GA,9027,9873
GA,9007,9851
GA,8971,9806
GA,8969,9793
GA,8922,9725
GA,8879,9648
GA,8830,9567
GA,8798,9515
GA,8778,9452
GA,8778,9442
GA,8775,9424
GA,8746,9380
GA,8716,9336
GA,8694,9297
GA,8648,9221
GA,8644,9215
GA,8627,9198
GA,8624,9179
GA,8591,9142
GA,8569,9102
GA,8536,9065
GA,8496,9008
GA,8471,8967
GA,8462,8957
GA,8462,8956
GA,8418,8905
GA,8403,8881
GA,8333,8806
GA,8264,8730
GA,8223,8677
GA,8194,8648
GA,8193,8647
GA,8156,8608
GA,8126,8578
GA,8072,8522
GA,8029,8479
GA,,7999
GA,,7981
GA,,7979
GA,,7955
GA,,7923
GA,,7876
GA,,7844
GA,,7827
GA,,7809
GA,,7808
GA,,7766
GA,,7729
GA,,7704
GA,,7674
GA,,7657
GA,,7638
GA,,7607
GA,,7556
GA,,7492
GA,,7470
GA,,7454
GA,,7429
GA,,7416
GA,,7393
GA,,7348
GA,,7294
GA,,7259
GA,,7229
GA,,7192
GA,,7162
GA,,7134
GA,,7106
GA,,7063
GA,,7021
GA,,6994
GA,,6961
GA,,6946
GA,,6914
GA,,6874
GA,,6822
GA,,6773
GA,,6677
GA,,6604
GA,,6602
GA,,6599
GA,,6537
GA,,6474
GA,,6419
GA,,6398
GA,,6353
GA,,6333
GA,,6287
GA,,6246
GA,,6204
GA,,6128
GA,,6070
GA,,6044
GA,,6037
GA,,5977
GA,,5931
GA,,5868
GA,,5795
GA,,5733
GA,,5632
GA,,5604
GA,,5576
GA,,5471
GA,,5393
GA,,5311
GA,,5262
GA,,5156
GA,,5132
GA,,5092
GA,,4998
GA,,4904
GA,,4849
GA,,4794
GA,,4727
GA,,4702
GA,,4669
GA,,4573
GA,,4538
GA,,4456
GA,,4351
GA,,4229
GA,,4199
GA,,4186
GA,,4117
GA,,4026
GA,,3984
GA,,3921
GA,,3842
GA,,3840
GA,,3825
GA,,3752
GA,,3671
GA,,3642
GA,,3563
GA,,3509
GA,,3498
GA,,3495
GA,,3442
GA,,3360
GA,,3335
GA,,3254
GA,,3176
GA,,3173
GA,,3168
GA,,3132
GA,,3104
GA,,3091
GA,,3054
GA,,3026
GA,,3001
GA,,2996
GA,,2965
GA,,2930
GA,,2922
GA,,2899
GA,,2878
GA,,2860
GA,,2857
GA,,2856
GA,,2849
GA,,2827
GA,,2805
GA,,2784
GA,,2778
GA,,2776
GA,,2770
GA,,2745
GA,,2698
GA,,2688
GA,,2648
GA,,2643
GA,,2642
GA,,2636
GA,,2605
GA,,2575
GA,,2529
GA,,2494
GA,,2451
GA,,2446
GA,,2418
GA,,2375
GA,,2329
GA,,2285
GA,,2208
GA,,2180
GA,,2174
GA,,2174
GA,,2147
GA,,2123
GA,,2102
GA,,2074
GA,,2042
GA,,2003
GA,,1974
GA,,1962
GA,,1907
GA,,1871
GA,,1830
GA,,1824
GA,,1811
GA,,1785
GA,,1754
GA,,1687
GA,,1664
GA,,1642
GA,,1606
GA,,1592
GA,,1557
GA,,1527
GA,,1505
GA,,1461
GA,,1441
GA,,1405
GA,,1400
GA,,1377
GA,,1336
GA,,1311
GA,,1288
GA,,1222
GA,,1177
GA,,1174
GA,,1154
GA,,1120
GA,,1093
GA,,1026
GA,,971
GA,,912
GA,,904
GA,,892
GA,,872
GA,,836
GA,,799
GA,,733
GA,,687
GA,,673
GA,,650
GA,,587
GA,,552
GA,,501
GA,,464
GA,,433
GA,,428
GA,,416
GA,,379
GA,,362
GA,,329
GA,,229
GA,,211
GA,,201
GA,,184
GA,,163
GA,,139
GA,,111
GA,,87
GA,,80
GA,,69
GA,,64
GA,,48
GA,,40
GA,,32
GA,,25
GA,,23
GA,,14
GA,,13
GA,,10
GA,,1
GA,,1
GA,,1
GA,,1
GA,,1
GA,,1
GA,,
GA,,
GA,,
GA,,
GA,,
GA,,
GA,,
GA,,
GA,,
