State,deathConfirmed,death
NY,,39029
NY,,38970
NY,,38891
NY,,38796
NY,,38735
NY,,38660
NY,,38577
NY,,38497
NY,,38407
NY,,38321
NY,,38227
NY,,38135
NY,,38031
NY,,37941
NY,,37851
NY,,37776
NY,,37675
NY,,37556
NY,,37440
NY,,37328
NY,,37221
NY,,37118
NY,,37009
NY,,36882
NY,,36743
NY,,36619
NY,,36481
NY,,36339
NY,,36224
NY,,36079
NY,,35920
NY,,35767
NY,,35631
NY,,35466
NY,,35319
NY,,35178
NY,,35036
NY,,34893
NY,,34742
NY,,34579
NY,,34407
NY,,34242
NY,,34069
NY,,33907
NY,,33763
NY,,33594
NY,,33415
NY,,33224
NY,,33052
NY,,32897
NY,,32725
NY,,32566
NY,,32379
NY,,32175
NY,,32007
NY,,31841
NY,,31672
NY,,31519
NY,,31329
NY,,31164
NY,,30965
NY,,30802
NY,,30648
NY,,30476
NY,,30337
NY,,30208
NY,,30040
NY,,29905
NY,,29756
NY,,29629
NY,,29511
NY,,29396
NY,,29270
NY,,29149
NY,,29016
NY,,28850
NY,,28709
NY,,28598
NY,,28474
NY,,28344
NY,,28222
NY,,28100
NY,,28002
NY,,27870
NY,,27785
NY,,27675
NY,,27587
NY,,27498
NY,,27404
NY,,27307
NY,,27232
NY,,27149
NY,,27089
NY,,27017
NY,,26955
NY,,26889
NY,,26816
NY,,26747
NY,,26690
NY,,26632
NY,,26588
NY,,26549
NY,,26482
NY,,26441
NY,,26390
NY,,26357
NY,,26326
NY,,26292
NY,,26257
NY,,26225
NY,,26189
NY,,26159
NY,,26133
NY,,26103
NY,,26079
NY,,26055
NY,,26026
NY,,26005
NY,,25973
NY,,25947
NY,,25928
NY,,25910
NY,,25892
NY,,25868
NY,,25853
NY,,25838
NY,,25824
NY,,25807
NY,,25804
NY,,25792
NY,,25773
NY,,25758
NY,,25742
NY,,25730
NY,,25718
NY,,25705
NY,,25694
NY,,25679
NY,,25672
NY,,25659
NY,,25644
NY,,25637
NY,,25628
NY,,25618
NY,,25605
NY,,25598
NY,,25587
NY,,25574
NY,,25569
NY,,25561
NY,,25555
NY,,25545
NY,,25536
NY,,25527
NY,,25519
NY,,25505
NY,,25497
NY,,25490
NY,,25479
NY,,25470
NY,,25468
NY,,25456
NY,,25450
NY,,25446
NY,,25439
NY,,25437
NY,,25432
NY,,25428
NY,,25427
NY,,25425
NY,,25423
NY,,25413
NY,,25410
NY,,25405
NY,,25394
NY,,25390
NY,,25384
NY,,25382
NY,,25377
NY,,25370
NY,,25367
NY,,25361
NY,,25359
NY,,25350
NY,,25348
NY,,25343
NY,,25336
NY,,25331
NY,,25328
NY,,25327
NY,,25319
NY,,25312
NY,,25309
NY,,25305
NY,,25297
NY,,25295
NY,,25288
NY,,25282
NY,,25278
NY,,25275
NY,,25270
NY,,25264
NY,,25256
NY,,25250
NY,,25244
NY,,25232
NY,,25228
NY,,25218
NY,,25211
NY,,25204
NY,,25202
NY,,25195
NY,,25190
NY,,25185
NY,,25179
NY,,25175
NY,,25172
NY,,25170
NY,,25164
NY,,25150
NY,,25145
NY,,25132
NY,,25126
NY,,25117
NY,,25106
NY,,25103
NY,,25090
NY,,25081
NY,,25068
NY,,25058
NY,,25056
NY,,25048
NY,,25035
NY,,25024
NY,,25014
NY,,25003
NY,,24994
NY,,24989
NY,,24979
NY,,24974
NY,,24968
NY,,24959
NY,,24944
NY,,24924
NY,,24913
NY,,24904
NY,,24896
NY,,24885
NY,,24877
NY,,24866
NY,,24855
NY,,24842
NY,,24835
NY,,24830
NY,,24814
NY,,24800
NY,,24782
NY,,24766
NY,,24739
NY,,24725
NY,,24710
NY,,24686
NY,,24661
NY,,24629
NY,,24608
NY,,24579
NY,,24551
NY,,24527
NY,,24495
NY,,24442
NY,,24404
NY,,24348
NY,,24299
NY,,24259
NY,,24212
NY,,24175
NY,,24133
NY,,24079
NY,,24023
NY,,23959
NY,,23905
NY,,23848
NY,,23780
NY,,23722
NY,,23643
NY,,23564
NY,,23488
NY,,23391
NY,,23282
NY,,23195
NY,,23083
NY,,22976
NY,,22843
NY,,22729
NY,,22619
NY,,22478
NY,,22304
NY,,22170
NY,,22013
NY,,21845
NY,,21640
NY,,21478
NY,,21271
NY,,21045
NY,,20828
NY,,19877
NY,,19645
NY,,19415
NY,,19189
NY,,18909
NY,,18610
NY,,18321
NY,,18015
NY,,17638
NY,,17303
NY,,16966
NY,,16599
NY,,16162
NY,,15740
NY,,15302
NY,,14828
NY,,14347
NY,,13869
NY,,13362
NY,,12822
NY,,12192
NY,,11586
NY,,10834
NY,,10056
NY,,9385
NY,,8627
NY,,7844
NY,,7067
NY,,6268
NY,,5489
NY,,4758
NY,,4159
NY,,3565
NY,,2935
NY,,2373
NY,,1941
NY,,1550
NY,,1218
NY,,965
NY,,728
NY,,519
NY,,385
NY,,285
NY,,210
NY,,114
NY,,114
NY,,44
NY,,35
NY,,12
NY,,12
NY,,7
NY,,7
NY,,3
NY,,
NY,,
NY,,
NY,,
NY,,
NY,,
NY,,
NY,,
NY,,
NY,,
NY,0,
NY,,
NY,,
